INDV,N_DATA,N_MISS,F_MISS,SITE,sheath_length,sheath_width,depth,mean_temp_C
B_CC02,446718,117511,0.263054,B_CC,222,9.5,intertidal,16.1
B_CC03,446718,114213,0.255671,B_CC,294,12,intertidal,16.1
B_CC05,446718,69912,0.156501,B_CC,150,7,intertidal,16.1
B_CC07,446718,16094,0.0360272,B_CC,324,8.5,intertidal,16.1
B_CC08,446718,21206,0.0474707,B_CC,365,9,intertidal,16.1
B_CC09,446718,25355,0.0567584,B_CC,283,12,intertidal,16.1
B_CC10,446718,18773,0.0420243,B_CC,232,12,intertidal,16.1
B_CC16,446718,37724,0.084447,B_CC,90,7,intertidal,16.1
B_CC18,446718,29387,0.0657842,B_CC,197,10,intertidal,16.1
B_CC19,446718,35162,0.0787118,B_CC,231,10,intertidal,16.1
B_CC20,446718,47031,0.105281,B_CC,266,9,intertidal,16.1
B_DB04,446718,50406,0.112836,B_DB,191,8,intertidal,18.5
B_DB05,446718,75669,0.169389,B_DB,147,7,intertidal,18.5
B_DB06,446718,111204,0.248936,B_DB,176,5.5,intertidal,18.5
B_DB11,446718,128552,0.28777,B_DB,79,6.5,intertidal,18.5
B_DB12,446718,60788,0.136077,B_DB,82,7,intertidal,18.5
B_DB13,446718,18087,0.0404886,B_DB,166,7,intertidal,18.5
B_DB14,446718,67648,0.151433,B_DB,143,5,intertidal,18.5
B_DB15,446718,9392,0.0210244,B_DB,146,5,intertidal,18.5
B_DB16,446718,74319,0.166367,B_DB,136,8.5,intertidal,18.5
B_DB17,446718,20220,0.0452635,B_DB,136,7.5,intertidal,18.5
B_DB18,446718,4434,0.00992572,B_DB,135,8,intertidal,18.5
B_DB19,446718,17164,0.0384224,B_DB,156,7,intertidal,18.5
B_DB20,446718,32123,0.0719089,B_DB,132,6,intertidal,18.5
B_DB21,446718,34490,0.0772075,B_DB,113,8,intertidal,18.5
B_MM01I,446718,34112,0.0763614,B_MM,225,8.5,intertidal,17.4
B_MM05I,446718,75071,0.16805,B_MM,150,9,intertidal,17.4
B_MM10I,446718,11622,0.0260164,B_MM,120,9,intertidal,17.4
B_MM11I,446718,17669,0.0395529,B_MM,280,7,intertidal,17.4
B_MM12I,446718,5041,0.0112845,B_MM,105,10,intertidal,17.4
B_MM13I,446718,11286,0.0252643,B_MM,136,10,intertidal,17.4
B_MM14I,446718,17246,0.038606,B_MM,255,9,intertidal,17.4
B_MM15I,446718,47193,0.105644,B_MM,125,9.5,intertidal,17.4
B_MM20S,446718,25883,0.0579404,B_MM,295,9.5,subtidal,17.3
B_MM27S,446718,24739,0.0553795,B_MM,337,10,subtidal,17.3
B_MM28S,446718,46306,0.103658,B_MM,forgot to measure,forgot to measure,subtidal,17.3
B_MM29S,446718,12050,0.0269745,B_MM,270,10,subtidal,17.3
B_MM30S,446718,16962,0.0379703,B_MM,206,8,subtidal,17.3
B_MM31I,446718,11844,0.0265134,B_MM,135,7,intertidal,17.4
B_MM33I,446718,31971,0.0715686,B_MM,156,8.5,intertidal,17.4
B_MM34S,446718,25168,0.0563398,B_MM,170,7.5,subtidal,17.3
B_MM35S,446718,12798,0.0286489,B_MM,215,9,subtidal,17.3
B_MM36S,446718,3791,0.00848634,B_MM,263,8,subtidal,17.3
B_MM37S,446718,53234,0.119167,B_MM,169,9,subtidal,17.3
B_MM38S,446718,13220,0.0295936,B_MM,248,9,subtidal,17.3
B_WP03I,446718,76887,0.172115,B_WP,74,5,intertidal,16.8
B_WP05I,446718,65995,0.147733,B_WP,78,6,intertidal,16.8
B_WP06I,446718,35179,0.0787499,B_WP,71,7,intertidal,16.8
B_WP09I,446718,39330,0.0880421,B_WP,133,7,intertidal,16.8
B_WP10I,446718,23645,0.0529305,B_WP,66,5,intertidal,16.8
